"source","research_area","issn_from_ajol","issn_from_issn_portal","issn_from_issn_portal2","source_url"
"Africa Development","African Studies","0850-3907","2521-9863","0850-3907","https://www.ajol.info/index.php/ad"
"Africa Development","African Studies","0850-3907","2521-9863","0850-3907","https://www.ajol.info/index.php/ad"
"Africa Insight","African Studies","1995-641X","1995-641X","0256-2804","https://www.ajol.info/index.php/ai"
"Africa Insight","African Studies","1995-641X","1995-641X","0256-2804","https://www.ajol.info/index.php/ai"
"African Anthropologist","African Studies","1024-0969","1024-0969",NA,"https://www.ajol.info/index.php/aa"
"African Anthropologist","African Studies","1024-0969","1024-0969",NA,"https://www.ajol.info/index.php/aa"
"African Crop Science Journal","African Studies","2072-6589","2072-6589","1021-9730","https://www.ajol.info/index.php/acsj"
"African Crop Science Journal","African Studies","2072-6589","2072-6589","1021-9730","https://www.ajol.info/index.php/acsj"
"African Environment","African Studies","0850-8518","1010-5522",NA,"https://www.ajol.info/index.php/ae"
"African Environment","African Studies","0850-8518","1010-5522",NA,"https://www.ajol.info/index.php/ae"
"African Health Sciences","African Studies","1729-0503","1680-6905","1729-0503","https://www.ajol.info/index.php/ahs"
"African Health Sciences","African Studies","1729-0503","1680-6905","1729-0503","https://www.ajol.info/index.php/ahs"
"African Human Mobility Review","African Studies",NA,"2411-6955","2410-7972","https://www.ajol.info/index.php/ahmr"
"African Journal for the Psychological Study of Social Issues","African Studies",NA,NA,NA,"https://www.ajol.info/index.php/ajpssi"
"African Journal for the Psychological Study of Social Issues","African Studies",NA,NA,NA,"https://www.ajol.info/index.php/ajpssi"
"African Journal of AIDS Research","African Studies","1608-5906","1727-9445","1608-5906","https://www.ajol.info/index.php/ajar"
"African Journal of AIDS Research","African Studies","1608-5906","1727-9445","1608-5906","https://www.ajol.info/index.php/ajar"
"African Journal of Cross-Cultural Psychology and Sport Facilitation","African Studies","1119-7056",NA,NA,"https://www.ajol.info/index.php/ajcpsf"
"African Journal of Cross-Cultural Psychology and Sport Facilitation","African Studies","1119-7056",NA,NA,"https://www.ajol.info/index.php/ajcpsf"
"African Journal of Economic Policy","African Studies","1116-4875","1607-2820",NA,"https://www.ajol.info/index.php/ajep"
"African Journal of Economic Policy","African Studies","1116-4875","1607-2820",NA,"https://www.ajol.info/index.php/ajep"
"African Journal of Empirical Research","African Studies",NA,"2709-2607",NA,"https://www.ajol.info/index.php/ajempr"
"African Journal of Empirical Research","African Studies",NA,"2709-2607",NA,"https://www.ajol.info/index.php/ajempr"
"African Journal of Food and Nutritional Security","African Studies","1608-1366",NA,NA,"https://www.ajol.info/index.php/fns"
"African Journal of Food and Nutritional Security","African Studies","1608-1366",NA,NA,"https://www.ajol.info/index.php/fns"
"African Journal of Food, Agriculture, Nutrition and Development","African Studies","1684-5374","1684-5374","1684-5358","https://www.ajol.info/index.php/ajfand"
"African Journal of Food, Agriculture, Nutrition and Development","African Studies","1684-5374","1684-5374","1684-5358","https://www.ajol.info/index.php/ajfand"
"African Journal of Health Sciences","African Studies","1022-9272","1022-9272","2306-1987","https://www.ajol.info/index.php/ajhs"
"African Journal of Health Sciences","African Studies","1022-9272","1022-9272","2306-1987","https://www.ajol.info/index.php/ajhs"
"African Journal of Infectious Diseases","African Studies","2006-0165","2006-0165","2505-0419","https://www.ajol.info/index.php/ajid"
"African Journal of Infectious Diseases","African Studies","2006-0165","2006-0165","2505-0419","https://www.ajol.info/index.php/ajid"
"African Journal of International Affairs","African Studies","0850-7902","1022-0461",NA,"https://www.ajol.info/index.php/ajia"
"African Journal of International Affairs","African Studies","0850-7902","1022-0461",NA,"https://www.ajol.info/index.php/ajia"
"African Journal of International Affairs and Development","African Studies",NA,"1821-889X",NA,"https://www.ajol.info/index.php/ajiad"
"African Journal of International Affairs and Development","African Studies",NA,"1821-889X",NA,"https://www.ajol.info/index.php/ajiad"
"African Journal of Library, Archives and Information Science","African Studies","0795-4778",NA,NA,"https://www.ajol.info/index.php/ajlais"
"African Journal of Library, Archives and Information Science","African Studies","0795-4778",NA,NA,"https://www.ajol.info/index.php/ajlais"
"African Journal of Political Science","African Studies","1027-0353","1027-0353","1726-3727","https://www.ajol.info/index.php/ajps"
"African Journal of Political Science","African Studies","1027-0353","1027-0353","1726-3727","https://www.ajol.info/index.php/ajps"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/ajpas"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/ajpas"
"African Journal of Traditional, Complementary and Alternative Medicines","African Studies","0189-6016",NA,NA,"https://www.ajol.info/index.php/ajtcam"
"African Journal of Traditional, Complementary and Alternative Medicines","African Studies","0189-6016",NA,NA,"https://www.ajol.info/index.php/ajtcam"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/amo"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/amo"
"African Research Review","African Studies","2070-0083","1994-9057","2070-0083","https://www.ajol.info/index.php/afrrev"
"African Research Review","African Studies","2070-0083","1994-9057","2070-0083","https://www.ajol.info/index.php/afrrev"
"African Studies Monographs","African Studies","1119-7196",NA,NA,"https://www.ajol.info/index.php/astumo"
"African Studies Monographs","African Studies","1119-7196",NA,NA,"https://www.ajol.info/index.php/astumo"
"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies","African Studies","2227-5460",NA,NA,"https://www.ajol.info/index.php/laligens"
"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies","African Studies","2227-5460",NA,NA,"https://www.ajol.info/index.php/laligens"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/bdje"
"Bakolori Journal of General Studies","African Studies",NA,"2630-6638","2630-6980","https://www.ajol.info/index.php/bajoges"
"Contemporary Journal of African Studies","African Studies","2343-6530",NA,NA,"https://www.ajol.info/index.php/contjas"
"Contemporary Journal of African Studies","African Studies","2343-6530",NA,NA,"https://www.ajol.info/index.php/contjas"
"Democracy & Development: Journal of West African Affairs","African Studies","1465-0142",NA,NA,"https://www.ajol.info/index.php/dad"
"Democracy & Development: Journal of West African Affairs","African Studies","1465-0142",NA,NA,"https://www.ajol.info/index.php/dad"
"East African Journal of Peace and Human Rights","African Studies","1021-8858","1021-8858",NA,"https://www.ajol.info/index.php/eajphr"
"East African Journal of Public Health","African Studies","0856-8960","2799-2128",NA,"https://www.ajol.info/index.php/eajph"
"East African Journal of Public Health","African Studies","0856-8960","2799-2128",NA,"https://www.ajol.info/index.php/eajph"
"Eastern Africa Journal of Rural Development","African Studies","0377-7103","0377-7103",NA,"https://www.ajol.info/index.php/eajrd"
