"fue","issn","eissn","categoria_id"
"ACTA CLASSICA","0065-1141","2227-538X",45
"ACTA GERMANICA-GERMAN STUDIES IN AFRICA","0065-1273","0065-1273",134
"ACTA STRUCTILIA","1023-0564","2415-0487",148
"AFRICAN DISABILITY RIGHTS YEARBOOK","2311-8970","2311-8970",135
"AFRICA EDUCATION REVIEW","1814-6627","1753-5921",70
"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",93
"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",168
"AFRICAN HISTORICAL REVIEW","1753-2523","1753-2531",120
"AFRICAN INVERTEBRATES","1681-5556","2305-2562",271
"AFRICAN INVERTEBRATES","1681-5556","2305-2562",93
"AFRICAN INVERTEBRATES","1681-5556","2305-2562",196
"AFRICAN JOURNAL OF AGRICULTURAL RESEARCH","1991-637X",NA,7
"AFRICAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS-AFJARE","1993-3738","1993-3738",3
"AFRICAN JOURNAL OF AQUATIC SCIENCE","1608-5914","1727-9364",149
"AFRICAN JOURNAL OF AQUATIC SCIENCE","1608-5914","1727-9364",269
"AFRICAN JOURNAL OF BIOTECHNOLOGY","1684-5315",NA,31
"AFRICAN JOURNAL OF BUSINESS ETHICS","1817-7417","0976-3600",32
"AFRICAN JOURNAL OF BUSINESS MANAGEMENT","1993-8233",NA,148
"AFRICAN JOURNAL OF BUSINESS MANAGEMENT","1993-8233",NA,32
"AFRICAN JOURNAL ON CONFLICT RESOLUTION","1562-6997","2309-737X",217
"AFRICAN JOURNAL OF DISABILITY","2223-9170","2226-7220",117
"AFRICAN JOURNAL OF HEALTH PROFESSIONS EDUCATION","2078-5127","2078-5127",117
"AFRICAN JOURNAL OF HERPETOLOGY","2156-4574","2153-3660",271
"AFRICAN JOURNAL OF HERPETOLOGY","0441-6651","2153-3660",271
"AFRICAN JOURNAL OF LABORATORY MEDICINE","2225-2002","2225-2010",170
"AFRICAN JOURNAL OF LIBRARY ARCHIVES AND INFORMATION SCIENCE","0795-4778",NA,130
"AFRICAN JOURNAL OF MARINE SCIENCE","1814-232X","1814-2338",149
"AFRICAN JOURNAL OF MARINE SCIENCE","0257-7615","1814-2338",149
"AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH","1996-0808",NA,174
"AFRICAN JOURNAL OF NURSING AND MIDWIFERY","1682-5055","1682-5055",185
"AFRICAN JOURNAL OF PHARMACY AND PHARMACOLOGY","1996-0816",NA,201
"AFRICAN JOURNAL OF PRIMARY HEALTH CARE & FAMILY MEDICINE","2071-2928","2071-2936",219
