fue;issn;eissn
acta classica;0065-1141;2227-538X
acta germanicagerman studies in africa;0065-1273;0065-1273
acta structilia;1023-0564;2415-0487
africa education review;1814-6627;1753-5921
african disability rights yearbook;2311-8970;2311-8970
african entomology;1021-3589;1026-4914
african health sciences;1680-6905;1729-0503
african historical review;1753-2523;1753-2531
african invertebrates;1681-5556;2305-2562
african journal of agricultural and resource economicsafjare;1993-3738;1993-3738
african journal of agricultural research;1991-637X;NA
african journal of aquatic science;1608-5914;1727-9364
african journal of biotechnology;1684-5315;NA
african journal of business ethics;1817-7417;0976-3600
african journal of business management;1993-8233;NA
african journal of disability;2223-9170;2226-7220
african journal of health professions education;2078-5127;2078-5127
african journal of herpetology;2156-4574;2153-3660
the journal of the herpetological association of africa;0441-6651;NA
african journal of laboratory medicine;2225-2002;2225-2010
african journal of library archives and information science;0795-4778;NA
african journal of marine science;1814-232X;1814-2338
south african journal of marine science;0257-7615;NA
african journal of microbiology research;1996-0808;NA
african journal of nursing and midwifery;1682-5055;2520-5293
african journal of pharmacy and pharmacology;1996-0816;NA
african journal of primary health care family medicine;2071-2928;2071-2936
african journal of psychiatry;1994-8220;NA
african journal of range forage science;1022-0119;1727-9380
african journal of reproductive health;1118-4841;2141-3606
african journal of rhetoric;1998-2054;1998-2054
african journal of traditional complementary and alternative medicines;0189-6016;NA
african journal of wildlife research;2410-7220;2410-8200
african journal on conflict resolution;1562-6997;2309-737X
african natural history;1816-8396;2305-7963
african safety promotion;1728-774X;1728-774X
african sociological review;1027-4332;1027-4332
african vision and eye health journal;0378-9411;2410-3039
african zoology;1562-7020;2224-073X
agrekon;0303-1853;2078-0400
ain shams engineering journal;2090-4479;2090-4495
ajarafrican journal of aids research;1608-5906;1727-9445
akroterionjournal for the classics in south africa;0303-1896;2079-2883
alexandria engineering journal;1110-0168;2090-2670
alexandria journal of medicine;2090-5068;2090-5076
annals of african medicine;1596-3519;0975-5764
annals of agricultural science;0570-1783;2090-8377
anthropology southern africa;2332-3256;2332-3264
applied bionics and biomechanics;1176-2322;1754-2103
arab journal of nuclear sciences and applications;1110-0451;1110-0451
arab journal of urology;2090-598X;2090-5998
architecture south africa;1682-9387;1682-9387
bordonrevista de pedagogia;0210-5934;2340-6577
bothalia;0006-8241;2311-9284
bulletin of the chemical society of ethiopia;1011-3924;1726-801X
cardiovascular journal of africa;1995-1892;1680-0745
catrinathe international journal of environmental sciences;1687-5052;2090-2786
communicarejournal for communication sciences in southern africa;0259-0069;0259-0069
communicatiosouth african journal for communication theory and research;0250-0167;1753-5379
communitas;1023-0556;2415-0525
critical artssouthnorth cultural and media studies;0256-0046;1992-6049
current allergy clinical immunology;1609-3607;1609-3607
current writingtext and reception in southern africa;1013-929X;2159-9130
de arte;0004-3389;2471-4100
de jure;1466-3597;2225-7160
eastern mediterranean health journal;1020-3397;1687-1634
ecquid noviafrican journalism studies;0256-0054;NA
education as change;1682-3206;1947-9417
educational research for social change;2221-4070;2221-4070
egyptian heart journal;1110-2608;2090-911X
egyptian informatics journal;1110-8665;2090-4754
egyptian journal of agronomy;0379-3575;2357-0288
egyptian journal of anaesthesia;NA;1110-1849
egyptian journal of aquatic research;1687-4285;2090-3278
egyptian journal of archaeological and restoration studies;2090-4932;2090-4940
egyptian journal of biological pest control;1110-1768;2536-9342
egyptian journal of botany;0375-9237;2357-0350
egyptian journal of chemistry;0449-2285;2357-0245
egyptian journal of dermatology and venereology;1110-6530;2314-7407
egyptian journal of forensic sciences;2090-536X;2090-5939
egyptian journal of haematology;1110-1067;2090-9268
egyptian journal of pediatric allergy and immunology;1687-1642;2314-8934
egyptian journal of remote sensing and space sciences;1110-9823;2090-2476
egyptian journal of soil science;0302-6701;2357-0369
egyptian journal of surgery;1110-1121;1687-7624
egyptian journal of veterinary science;1110-0222;2357-089X
egyptian pediatric association gazette;1110-6638;2090-9942
egyptian rheumatologist;1110-1164;2090-2433
english academy reviewsouthern african journal of english studies;1013-1752;1753-5360
english in africa;0376-8902;2071-7474
english studies in africa;0013-8398;1943-8117
ethiopian journal of health development;1021-6790;1021-6790
ethiopian journal of health sciences;1029-1857;2413-7170
euromediterranean journal for environmental integration;2365-6433;2365-7448
french studies in southern africa;0259-0247;0259-0247
future business journal;2314-7202;2314-7210
future journal of pharmaceutical sciences;2314-7245;2314-7253
ghana social science journal;0855-4730;0855-4730
health sa gesondheid;1025-9848;2071-9736
hesperistamuda;0018-1005;0018-1005
hts teologiese studiestheological studies;0259-9422;2072-8050
in die skrifligin luce verbi;1018-6441;2305-0853
independent journal of teaching and learning;1818-9687;1818-9687
international journal of african renaissance studies;1818-6874;1753-7274
international journal of photoenergy;1110-662X;1687-529X
