title.x;issn.x;issn2.x;is_ajol;is_crossref;is_dimensions;is_scopus;is_wos;is_ulrich;language1;language2;language3;language
abia state university medical students' association journal;0794-6961;NA;1;1;1;0;0;0;NA;NA;NA;NA
egyptian academic journal of biological sciences h botany;2090-3812;2090-3820;0;1;1;0;0;1;English;NA;NA;English
jewish affairs;2224-7874;0021-6313;0;0;1;0;0;1;English;NA;NA;English
acta classica;NA;0065-1141;0;1;1;1;1;0;NA;English;NA;English
acta germanicagerman studies in africa;0065-1273;0065-1273;0;0;0;0;1;0;NA;Multi-Language;NA;Multi-Language
abraka humanities review;2795-3726;0795-1639;1;0;0;0;0;0;NA;NA;NA;NA
abyssinia journal of science and technology;2616-471X;2616-4728;1;0;0;0;0;1;English;NA;NA;English
acta commercii;2413-1903;1684-1999;0;1;1;1;0;1;English;NA;NA;English
africa education review;1753-5921;1814-6627;0;1;1;0;1;1;Afrikaans;English;NA;Multi-Language
africa education review;1753-5921;1814-6627;0;1;1;0;1;1;English;English;NA;English
african yearbook of rhetoric;2220-2188;2305-7785;0;0;0;0;0;1;Afrikaans;NA;NA;Afrikaans
african yearbook of rhetoric;2220-2188;2305-7785;0;0;0;0;0;1;English;NA;NA;English
advances in hematology;1687-9112;1687-9104;0;1;1;1;0;0;NA;NA;English;English
international journal of biotechnology;2221-6766;NA;0;1;1;0;0;1;English;NA;NA;English
the african journal of information and communication;2077-7205;2077-7213;0;1;1;0;0;1;English;NA;NA;English
african journal of computing and ict;2006-1781;NA;0;0;0;0;0;1;English;NA;NA;English
africa research journal;NA;1991-1696;0;1;0;0;1;1;English;NA;NA;English
journal of counselling and development in higher education southern africa;2225-420X;NA;0;0;0;0;0;1;English;NA;NA;English
world applied programming;2222-2510;NA;0;1;1;0;0;1;English;NA;NA;English
advances in humancomputer interaction;1687-5907;1687-5893;0;0;0;1;0;0;NA;NA;English;English
constitutional court review;2073-6215;2521-5183;0;1;1;0;0;1;English;NA;NA;English
advances in meteorology;1687-9309;1687-9317;0;1;1;1;0;0;NA;NA;English;English
african journal of distance education;2070-8130;NA;0;0;0;0;0;1;English;NA;NA;English
bulletin of social and behavioural sciences;2276-8432;NA;0;0;0;0;0;1;NA;NA;NA;NA
academy journal of science and engineering;NA;NA;1;0;0;0;0;0;NA;NA;English;English
acta structilia;1023-0564;2415-0487;1;1;1;0;1;1;Afrikaans;Multi-Language;NA;Multi-Language
acta structilia;1023-0564;2415-0487;1;1;1;0;1;1;NA;Multi-Language;NA;Multi-Language
acta structilia;1023-0564;2415-0487;1;1;1;0;1;1;English;Multi-Language;NA;Multi-Language
african disability rights yearbook;2311-8970;2413-7138;0;1;1;0;1;1;English;English;NA;English
advances in public health;2356-6868;2314-7784;0;1;1;1;0;0;NA;NA;English;English
advances in tribology;1687-5923;1687-5915;0;1;1;1;0;0;NA;NA;English;English
journal of southern african adventism;2304-5280;NA;0;0;0;0;0;1;English;NA;NA;English
african historical review;1753-2531;NA;0;1;1;0;1;1;English;English;NA;English
journal of development and leadership;2226-0102;NA;0;0;0;0;0;1;English;NA;NA;English
acta theologica;1015-8758;2309-9089;1;1;1;0;0;1;Afrikaans;NA;NA;Afrikaans
acta theologica;1015-8758;2309-9089;1;1;1;0;0;1;NA;NA;NA;NA
acta theologica;1015-8758;2309-9089;1;1;1;0;0;1;English;NA;NA;English
international journal of chemical and petroleum sciences;2253-0932;NA;0;0;0;0;0;1;French;NA;NA;French
international journal of chemical and petroleum sciences;2253-0932;NA;0;0;0;0;0;1;NA;NA;NA;NA
international journal of chemical and petroleum sciences;2253-0932;NA;0;0;0;0;0;1;English;NA;NA;English
revue des bio ressources;2170-1806;NA;0;0;1;0;0;1;NA;NA;NA;NA
africa development;0850-3907;NA;1;1;1;1;0;1;French;NA;NA;French
africa development;0850-3907;NA;1;1;1;1;0;1;NA;NA;NA;NA
africa development;0850-3907;NA;1;1;1;1;0;1;English;NA;NA;English
annales des sciences et technologie;2170-0672;NA;0;0;1;0;0;1;NA;NA;NA;NA
cahiers de politique et de droit;1112-9808;NA;0;0;1;0;0;1;NA;NA;NA;NA
al athar;1112-3672;NA;0;0;1;0;0;1;NA;NA;NA;NA
revue el bahith;1112-3613;NA;0;0;1;0;0;1;French;NA;NA;French
revue el bahith;1112-3613;NA;0;0;1;0;0;1;NA;NA;NA;NA
revue el bahith;1112-3613;NA;0;0;1;0;0;1;Arabic;NA;NA;Arabic
revue el bahith;1112-3613;NA;0;0;1;0;0;1;English;NA;NA;English
africa insight;1995-641X;NA;1;1;1;0;0;1;English;NA;NA;English
african journal of pharmacy biology and medical science;2312-9549;NA;0;0;0;0;0;1;English;NA;NA;English
the ethiopian journal of business and economics;2311-9772;2410-2393;0;1;1;0;0;1;English;NA;NA;English
msingi journal;2310-3493;NA;0;1;1;0;0;1;English;NA;NA;English
sciafric journal of scientific issues research and essays;2311-6188;NA;0;0;0;0;0;1;English;NA;NA;English
african research journal of education and social sciences;2312-0134;NA;0;0;0;0;0;1;English;NA;NA;English
webpub journal of agricultural research;2311-9926;NA;0;0;0;0;0;1;English;NA;NA;English
webpub journal of scientific research;2311-9764;NA;0;0;0;0;0;1;English;NA;NA;English
journal of sustainable research in engineering;2310-9122;2409-1243;0;0;0;0;0;1;English;NA;NA;English
international research journal of scientific findings;2312-9603;NA;0;0;0;0;0;1;English;NA;NA;English
the pharmaceutical journal of kenya;0378-228X;2411-6386;0;0;0;0;0;1;English;NA;NA;English
the african journal of technology;1998-9350;2313-5549;0;0;0;0;0;1;English;NA;NA;English
zimbabwe journal of science and technology;1810-0341;2409-0360;0;0;0;0;0;1;NA;NA;NA;NA
covenant journal of research in the built environment;2384-5724;2384-5716;0;1;1;0;0;1;English;NA;NA;English
ethiopian journal of social sciences and language studies;2412-5180;2408-9532;0;0;0;0;0;1;English;NA;NA;English
covenant journal of informatics and communication technology;2354-3566;2354-3507;0;0;1;0;0;1;English;NA;NA;English
covenant journal of language studies;2354-3582;2354-3523;0;1;1;0;0;1;English;NA;NA;English
covenant journal of physical and life sciences;2354-3574;2354-3485;0;1;1;0;0;1;English;NA;NA;English
covenant journal of politics and international affairs;2354-3558;2354-3493;0;0;1;0;0;1;English;NA;NA;English
learned journal of science agriculture and engineering;2360-8250;NA;0;0;0;0;0;1;English;NA;NA;English
unilag journal of basic medical sciences;2354-4368;NA;0;0;0;0;0;1;English;NA;NA;English
african journal of microfinance and enterprise development;2360-7726;NA;0;0;0;0;0;1;English;NA;NA;English
archives of basic and applied medicine;2360-9680;2384-6232;0;0;0;0;0;1;English;NA;NA;English
journal of economic and financial sciences;1995-7076;2312-2803;0;1;1;0;0;1;English;NA;NA;English
africa sanguine;2731-2992;1560-8646;1;1;1;0;0;0;NA;NA;English;English
tropical journal of medical research;1119-0388;2505-0338;0;1;1;0;0;1;English;NA;NA;English
african anthropologist;1024-0969;NA;1;1;1;0;0;0;NA;NA;English;English
international journal of agriculture and biosciences;2305-6622;2306-3599;0;0;0;0;0;1;English;NA;NA;English
africa journal of nursing and midwifery;1682-5055;2520-5293;0;1;1;1;1;1;English;English;NA;English
african biodiversity conservation;2311-9284;2311-4207;0;0;0;1;0;1;English;NA;NA;English
african entomology;NA;2224-8854;0;1;1;1;1;1;NA;Multi-Language;NA;Multi-Language
