title	issn	issn2	is_ajol	is_scopus	is_wos	is_ulrich
rehabilitation research and practice	2090-2867	2090-2875	0	1	0	0
international journal of environmental science and sustainable development	2357-0849	2357-0857	0	0	0	1
rwanda journal	2305-2678	2305-5944	1	0	0	0
egypte monde arabe	2090-7273	1110-5097	0	0	0	1
university of cairo faculty of medicine medical journal	NULL	0045-3803	0	0	0	1
panafrican journal of business management	1821-9993	1821-9985	0	0	0	1
rwanda journal  of agricultural sciences	2707-7209	NULL	1	0	0	0
tengeru community development journal	1821-9853	NULL	0	0	0	1
southern african journal for policy and development	2411-5479	NULL	0	0	0	1
international journal of management accounting sciences	2409-9333	NULL	0	0	0	1
ethiopian journal of laboratory medicine	2411-054X	NULL	0	0	0	1
the east and central africa medical journal	2078-5909	NULL	0	0	0	1
international journal of social science and information technology	2412-0294	NULL	0	0	0	1
fundamina	1021-545X	2411-7870	0	0	0	1
journal of leadership and management studies	2313-1055	NULL	0	0	0	1
rwanda journal of engineering science technology and environment	2617-2321	2617-233X	1	0	0	1
arab journal of nephrology and transplantation	1858-554X	NULL	0	0	0	1
rwanda journal of medicine and health sciences	2616-9819	2616-9827	1	0	0	0
international journal of ethnomedicine and pharmacognosy	2437-1262	2437-1254	0	0	0	1
journal of public administration and personnel management	2437-2048	NULL	0	0	0	1
journal of energy in southern africa online	2413-3051	NULL	0	0	0	1
sa pharmaceutical journal incorporating pharmacy management	2221-5875	2220-1017	0	0	1	1
strathmore law journal	2411-5975	2413-7162	0	0	0	1
journal of innovation and research in health sciences and biotechnology	2413-7669	NULL	0	0	0	1
die maatskaplikewerknavorserpraktisyn	1011-2324	NULL	0	0	0	1
the social work practitionerresearcher online	2415-5829	NULL	0	0	0	1
harare journal of health marketing and management	2409-5842	NULL	0	0	0	1
algerian journal of natural products	2353-0391	NULL	0	0	0	1
journal of geography education for southern africa	2517-9861	NULL	0	0	0	1
africa journal of technical and vocational education and training	2413-984X	2518-2722	0	0	0	1
journal for the renewal of religion and theology	1834-3627	NULL	0	0	0	1
rwanda journal of social sciences, humanities and business	2708-7603	NULL	1	0	0	0
nawa	1993-3835	NULL	0	0	0	1
international journal of computing and information and communication technology research	1818-1139	1996-1065	0	0	0	1
research journal in advanced humanities	2708-5945	2708-5953	0	1	0	0
scientific research and essays	1992-2248	NULL	0	0	1	0
egerton journal	1021-1128	NULL	0	0	0	1
malawi law journal	1996-7675	NULL	0	0	0	1
global media journal african edition	2073-2740	NULL	0	0	0	1
global media journal arabian edition	NULL	NULL	0	0	0	1
rwanda medical journal	2079-097X	2410-8626	1	1	0	1
journal of nigerian society of physical sciences	2714-4704	2714-2817	0	0	0	1
rwandan journal of education	2227-9148	2312-9239	1	0	0	1
