"Title","eissn","issn_print"
"journal of immunology research","2314-7156","2314-8861"
"journal of obesity","2090-0716","2090-0708"
"journal of nutrition and metabolism","2090-0732","2090-0724"
"journal of biophysics","1687-8000","1687-8019"
"advances in hematology","1687-9104","1687-9112"
"parkinsons disease","2042-0080","2090-8083"
"comparative and functional genomics","1531-6912","1532-6268"
"contrast media and molecular imaging","1555-4309","1555-4317"
"international journal of microbiology","1687-9198","1687-918X"
"cardiovascular psychiatry and neurology","2090-0171","2090-0163"
"pulmonary medicine","2090-1844","2090-1836"
"journal of environmental and public health","1687-9805","1687-9813"
"stroke research and treatment","2090-8105","2042-0056"
"journal of tropical medicine","1687-9686","1687-9694"
"journal of toxicology","1687-8205","1687-8191"
"international journal of proteomics","2090-2166","2090-2174"
"journal of diabetes research","2314-6745","2314-6753"
"canadian journal of gastroenterology and hepatology","2291-2797","2291-2789"
"journal of advanced transportation","0197-6729","2042-3195"
"southern african humanities","1681-5564",NA
"anemia","2090-1267","2090-1275"
"disease markers","0278-0240","1875-8630"
"international journal of vascular medicine","2090-2824","2090-2832"
"dermatology research and practice","1687-6113","1687-6105"
"autoimmune diseases","2090-0430","2090-0422"
"interdisciplinary perspectives on infectious diseases","1687-7098","1687-708X"
"science and technology of nuclear installations","1687-6083","1687-6075"
"veterinary medicine international","2090-8113","2042-0048"
"southern african journal of hiv medicine","1608-9693",NA
"critical care research and practice","2090-1305","2090-1313"
"canadian respiratory journal","1198-2241","1916-7245"
"anesthesiology research and practice","1687-6962","1687-6970"
"advances in optical technologies","1687-6407","1687-6393"
"depression research and treatment","2090-1321","2090-133X"
"onderstepoort journal of veterinary research","2219-0635","0030-2465"
"analytical cellular pathology","2210-7185","2210-7177"
"african journal of marine science","1814-2338","1814-232X"
"south african archaeological bulletin","0038-1969",NA
"koedoe","2071-0771","0075-6458"
"review of development finance","1879-9337",NA
"complexity","1076-2787","1099-0526"
"advances in meteorology","1687-9317","1687-9309"
"occupational therapy international","1557-0703","0966-7903"
"advances in bioinformatics","1687-8027","1687-8035"
"international journal of telemedicine and applications","1687-6415","1687-6423"
"south african medical journal","0256-9574","2078-5135"
"african invertebrates","1681-5556",NA
"psyche journal of entomology","0033-2615","1687-7438"
"african journal of wildlife research","2410-7220","2410-8200"
"african health sciences","1680-6905",NA
"south african journal of education","2076-3433","0256-0100"
"shock and vibration","1070-9622","1875-9203"
"african journal of psychiatry south africa discontinued","1994-8220",NA
"international journal of polymer science","1687-9430","1687-9422"
"journal of function spaces","2314-8888","2314-8896"
"international journal of shoulder surgery","0973-6042",NA
"scientific world journal the","2356-6140","1537-744X"
"south african journal of enology and viticulture","0253-939X",NA
"ghana medical journal","0855-0328",NA
"south african journal of animal sciences","0375-1589",NA
"journal of medicinal plant research","1996-0875",NA
"journal of materials and environmental science discontinued","2028-2508",NA
"south african journal of geology","1012-0750",NA
