"fec","fue","issn","eissn","revista_id","tic","categoria_id","edicion_id","idioma_id","region_id","editor_id","jcrDireccion_id","frecPublicacion","citasTotal","jif","jifSinAutocitas","jif5Anos","indInmediatez","itemsCitables","itemsCitables.Articulos","jifPercPromedio","articles","revisionesTotal","vidaMediaCitasRecibidas","vidaMediaCitasRealizadas","indAutofactor","indInfluenciaArticulo","indAutofactorNormalizado","jci","jifRango","jifCuartil","jifPercentil","jciRango","jciCuartil","jciPercentil","jifPosicion","jciPosicion"
2020,"ACTA CLASSICA","0065-1141","2227-538X",217,"ACTA CLASS.",45,1,8,94,6725,7506,"1 ISSUE/YEAR",46,NA,NA,NA,"0",12,"91,67",NA,11,1,NA,"28.5","0,00007","0,145","0,01621","0,23",NA,NA,NA,"51/57","Q4","11,4",NA,51
2020,"ACTA GERMANICA-GERMAN STUDIES IN AFRICA","0065-1273","0065-1273",250,"ACTA GER.",134,2,22,94,4821,5300,"1 ISSUE/YEAR",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00017",NA,"0,03662","0,08",NA,NA,NA,"308/356","Q4","13,62",NA,308
2020,"ACTA STRUCTILIA","1023-0564","2415-0487",374,"ACTA STRUCTILIA",148,2,22,94,6726,7506,"2 ISSUES/YEAR",69,NA,NA,NA,"0,167",12,"58,33",NA,7,5,NA,"7.3","0,00003",NA,"0,00697","0,1",NA,NA,NA,"353/379","Q4","6,99",NA,353
2020,"AFRICAN DISABILITY RIGHTS YEARBOOK","2311-8970","2311-8970",688,"AFR. DISABIL. RIGHTS YEARB.",135,2,8,94,5051,5367,"1 ISSUE/YEAR",23,NA,NA,NA,"0",12,"100",NA,12,0,NA,"8.2","0,00003",NA,"0,00662","0,21",NA,NA,NA,"312/403","Q4","22,7",NA,312
2020,"AFRICA EDUCATION REVIEW","1814-6627","1753-5921",690,"AFR. EDUC. REV.",70,2,8,94,6314,7540,"4 ISSUES/YEAR",226,NA,NA,NA,"0,2",34,"100",NA,34,0,"5.4","9.9","0,00029",NA,"0,06176","0,27",NA,NA,NA,"556/722","Q4","23,06",NA,556
2016,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,22,94,2126,7287,"2 ISSUES/YEAR",494,"0,813","0,613","0,726","0,197",61,"96,72","42,473",59,2,"6.1",">10.0","0,00082","0,177","0,09368",NA,"54/93","Q3","42,47",NA,NA,NA,54,NA
2015,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,22,94,2126,7287,"2 ISSUES/YEAR",438,"0,521","0,432","0,645","0,164",61,"96,72","21,809",59,2,"7.1",">10.0","0,0008","0,178","0,09067",NA,"74/94","Q4","21,81",NA,NA,NA,74,NA
2017,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,22,94,2126,7287,"2 ISSUES/YEAR",588,"0,508","0,434","0,603","0,188",64,"98,44","16,146",63,1,"6.8","14.3","0,00066","0,149","0,0766","0,46","81/96","Q4","16,15","65/94","Q3","31,38",81,65
2001,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,8,94,2126,7287,"2 ISSUES/YEAR",96,"0,17","0,12",NA,"0,05",20,"95","8,209",19,1,NA,">10.0",NA,NA,NA,NA,"62/67","Q4","8,21",NA,NA,NA,62,NA
2019,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,22,94,2126,7287,"2 ISSUES/YEAR",688,"0,65","0,634","0,814","0,075",53,"96,23","22,277",51,2,"8.1","15.1","0,00093","0,219","0,11436","0,34","79/101","Q4","22,28","79/99","Q4","20,71",79,79
