"id";"nombre_en";"nombre_es";"area_id"
"1";"ACOUSTICS";"ACUSTICA";"3"
"2";"AEROSPACE ENGINEERING & TECHNOLOGY";"INGENIERÍA Y TECNOLOGÍA AEROESPACIAL";"4"
"3";"AGRICULTURAL ECONOMICS & POLICY";"ECONOMÍA Y POLÍTICA AGRARIA";"4"
"4";"AGRICULTURAL ENGINEERING";"ING. AGRARIA";"4"
"5";"AGRICULTURE";"AGRICULTURA";"4"
"6";"AGRICULTURE, DAIRY & ANIMAL SCIENCE";"AGRICULTURA, LACTEOS Y CS DE LOS ANIMALES";"4"
"7";"AGRICULTURE, MULTIDISCIPLINARY";"AGRICULTURA, MULTIDISCIPLINAR";"4"
"8";"AGRICULTURE, SOIL SCIENCE";"AGRICULTURA, CIENCIAS DEL SUELO";"4"
"9";"AGRONOMY";"AGRONOMÍA";"4"
"10";"ALLERGY";"ALERGIA";"5"
"11";"ANATOMY & MORPHOLOGY";"ANATOMÍA Y MORFOLOGÍA";"2"
"12";"ANDROLOGY";"ANDROLOGÍA";"5"
"13";"ANESTHESIOLOGY";"ANESTESIOLOGÍA";"5"
"14";"ANTHROPOLOGY";"ANTROPOLOGÍA";"1"
"15";"APPLIED LINGUISTICS";"LINGÜÍSTICA APLICADA";"1"
"16";"ARCHAEOLOGY";"ARQUEOLOGÍA";"1"
"17";"ARCHITECTURE";"ARQUITECTURA";"4"
"18";"AREA STUDIES";"ESTUDIOS DEL ÁREA";"1"
"19";"ART";"ARTE";"1"
"20";"ASIAN STUDIES";"ESTUDIOS ASIÁTICOS";"1"
"21";"ASTRONOMY & ASTROPHYSICS";"ASTRONOMÍA Y ASTROFÍSICA";"3"
"22";"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY";"AUDIOLOGÍA Y PATOLOGÍAS DEL HABLA Y EL LENGUAJE";"5"
"23";"AUTOMATION & CONTROL SYSTEMS";"AUTOMATIZACIÓN Y CONTROL DE SISTEMAS";"4"
"24";"BEHAVIORAL SCIENCES";"CS. DEL COMPORTAMIENTO";"6"
"25";"BIOCHEMICAL RESEARCH METHODS";"BIOQUÍMICA, MÉTODOS DE INVESTIGACIÓN";"2"
"26";"BIOCHEMISTRY & MOLECULAR BIOLOGY";"BIOQUÍMICA Y BIOL. MOLECULAR";"2"
"27";"BIODIVERSITY CONSERVATION";"BIODIVERSIDAD, CONSERVACIÓN";"2"
"28";"BIOLOGY";"BIOLOGÍA";"2"
"29";"BIOLOGY, MISCELLANEOUS";"BIOLOGIA, MISCELANEAS";"2"
"30";"BIOPHYSICS";"BIOFÍSICA";"2"
"31";"BIOTECHNOLOGY & APPLIED MICROBIOLOGY";"BIOTECNOLOGÍA Y MICROBIOLOGÍA APLICADA";"2"
"32";"BUSINESS";"NEGOCIOS";"6"
"33";"BUSINESS, FINANCE";"NEGOCIOS Y FINANZAS";"6"
"34";"CARDIAC & CARDIOVASCULAR SYSTEMS";"SISTEMA CARDÍACO Y CARDIOVASCULAR";"5"
"35";"CELL & TISSUE ENGINEERING";"INGENIERÍA CELULAR Y TEJIDOS";"4"
"36";"CELL BIOLOGY";"BIOLOGÍA CELULAR";"2"
"37";"CHEMISTRY";"QUÍMICA";"3"
