title;issn;issn2;lan_text;lan_text2;lan_text3;lan_text4;lan_text5;lan_text6;lan_text7;lan_text8;lan_text9;lan_text10;lan_text11
abia state university medical students' association journal;0794-6961;NA;NA;;;;;;;;;;
abraka humanities review;2795-3726;0795-1639;NA;;;;;;;;;;
academy journal of science and engineering;NA;NA;English;;;;;;;;;;
advances in hematology;1687-9112;1687-9104;English;;;;;;;;;;
advances in humancomputer interaction;1687-5907;1687-5893;English;;;;;;;;;;
advances in meteorology;1687-9309;1687-9317;English;;;;;;;;;;
advances in public health;2356-6868;2314-7784;English;;;;;;;;;;
advances in tribology;1687-5923;1687-5915;English;;;;;;;;;;
africa sanguine;2731-2992;1560-8646;English;;;;;;;;;;
african anthropologist;1024-0969;NA;English;;;;;;;;;;
african finance journal;NA;1605-9786;English;;;;;;;;;;
african journal of accounting and social science studies;2591-6815;NA;English;;;;;;;;;;
african journal of anaesthesia and intensive care;0794-2184;NA;English;;;;;;;;;;
african journal of applied research;2408-7920;NA;English;;;;;;;;;;
african journal of biomedical research;1119-5096;NA;NA;;;;;;;;;;
african journal of chemical education;2227-5835;NA;English;;;;;;;;;;
african journal of clinical and experimental microbiology;1595-689X;NA;English;;;;;;;;;;
african journal of drug and alcohol studies;1531-4065;NA;NA;;;;;;;;;;
african journal of emergency medicine;2211-419X;2211-4203;English;French;;;;;;;;;
african journal of empirical research;2709-2607;NA;NA;;;;;;;;;;
african journal of environmental science and technology;1996-0786;NA;English;;;;;;;;;;
african journal of gastroenterology and hepatology;2735-5489;2735-5497;English;French;;;;;;;;;
african journal of livestock extension;1596-4019;NA;NA;;;;;;;;;;
african journal of neurological sciences;1992-2647;1015-8618;English;French;;;;;;;;;
african journal of oral health;1608-7232;0189-5710;English;;;;;;;;;;
african journal of political science;1027-0353;1726-3727;English;;;;;;;;;;
african journal of rheumatology;2664-441X;2307-2482;NA;;;;;;;;;;
african journal of social issues;2734-3324;2672-5142;NA;;;;;;;;;;
african journal of sustainable development;2971-5253;2315-6317;English;;;;;;;;;;
african journal of tropical entomology research;2791-0113;NA;English;;;;;;;;;;
african journal of urology;1110-5704;NA;English;;;;;;;;;;
african research review;1994-9057;2070-0083;NA;;;;;;;;;;
african review of economics and finance;2410-4906;2042-1478;English;;;;;;;;;;
african review of physics;NA;2223-6589;NA;;;;;;;;;;
afrika statistika;2316-090X;NA;English;;;;;;;;;;
afrimedic journal;2141-162X;NA;English;;;;;;;;;;
afrique science: revue internationale des sciences et technologie;1813-548X;NA;French;;;;;;;;;;
afrrev ijah: an international journal of arts and humanities;2227-5452;NA;English;;;;;;;;;;
afrrev laligens: an international journal of language, literature and gender studies;2227-5460;NA;English;;;;;;;;;;
afrrev stech: an international journal of science and technology;2227-5444;NA;English;;;;;;;;;;
agricultural and food science journal of ghana;0855-5591;2821-9023;English;;;;;;;;;;
agronomie africaine;1015-2288;2948-0086;English;;;;;;;;;;
agro-science;1119-7455;NA;English;;;;;;;;;;
algerian journal of biosciences;2716-9375;2773-2916;English;;;;;;;;;;
algerian journal of engineering and technology;2716-9227;2716-9278;English;;;;;;;;;;
alqalam journal of medical and applied sciences;2707-7179;NA;NA;;;;;;;;;;
anatomy journal of africa;2226-6054;2305-9478;English;;;;;;;;;;
anchor university journal of science and technology;2736-0067;2736-0059;English;;;;;;;;;;
anemia;2090-1275;2090-1267;English;;;;;;;;;;
anesthesiology research and practice;1687-6970;1687-6962;English;French;;;;;;;;;
annales des sciences agronomiques;1659-5009;NA;NA;;;;;;;;;;
annals of ibadan postgraduate medicine;1597-1627;NA;NA;;;;;;;;;;
annals of nigerian medicine;0331-3131;NA;NA;;;;;;;;;;
annals of pediatric surgery;2090-5394;1687-4137;English;;;;;;;;;;
applied computational intelligence and soft computing;1687-9732;1687-9724;English;;;;;;;;;;
archives of medical and biomedical research;1694-2078;1694-2086;NA;;;;;;;;;;
arumaruka: journal of conversational thinking;NA;NA;English;;;;;;;;;;
atbu journal of environmental technology;1596-6305;NA;NA;;;;;;;;;;
autoimmune diseases;2090-0422;2090-0430;English;;;;;;;;;;
bahir dar university journal of law;NA;NA;English;Amharic;;;;;;;;;
bakolori journal of general studies;2630-6638;2630-6980;Na;;;;;;;;;;
batna journal of medical sciences;2437-0665;NA;English;French;Arabic;;;;;;;;
bayero journal of medical laboratory science;2635-3792;NA;English;;;;;;;;;;
bayero journal of nursing and health care;2659-1464;NA;English;;;;;;;;;;
bayero journal of pure and applied sciences;2006-6996;NA;English;;;;;;;;;;
bio-research;2705-3822;NA;NA;;;;;;;;;;
bnr economic review;2706-8587;NA;English;;;;;;;;;;
borno medical journal;0189-9422;2437-1734;English;;;;;;;;;;
bulletin de linstitut scientifique section sciences de la terre;NA;1114-6834;NA;;;;;;;;;;
bulletin of animal health and production in africa;0378-9721;NA;English;French;;;;;;;;;
caliphate journal of science and technology;2705-3121;2705-313X;English;Portuguese;;;;;;;;;
canadian journal of gastroenterology and hepatology;2291-2789;2291-2797;English;;;;;;;;;;
canadian journal of infectious diseases and medical microbiology;1918-1493;1712-9532;English;;;;;;;;;;
canadian respiratory journal;1916-7245;1198-2241;English;;;;;;;;;;
case reports in psychiatry;2090-6838;2090-682X;English;;;;;;;;;;
chemsearch journal;2384-6028;NA;NA;;;;;;;;;;
contemporary journal of african studies;2343-6530;NA;English;;;;;;;;;;
cradle of knowledge: african journal of educational and social science research (the);NA;NA;English;;;;;;;;;;
creative artist: a journal of theatre and media studies;2006-6910;NA;NA;;;;;;;;;;
critical care research and practice;2090-1313;2090-1305;English;;;;;;;;;;
depression research and treatment;2090-133X;2090-1321;English;;;;;;;;;;
dermatology research and practice;1687-6105;1687-6113;English;;;;;;;;;;
dirasat hispanicas: revista tunecina de estudios hispánicos;NA;NA;NA;;;;;;;;;;
disease markers;1875-8630;0278-0240;English;;;;;;;;;;
dutse journal of pure and applied sciences;2635-3490;2476-8316;English;;;;;;;;;;
east africa science;2664-0996;2664-1003;English;;;;;;;;;;
east african health research journal;2520-5285;2520-5277;English;;;;;;;;;;
east african journal of biophysical and computational sciences;2789-360X;2789-3618;English;;;;;;;;;;
east african journal of education and social sciences;2714-2132;2714-2183;NA;;;;;;;;;;
east african orthopaedic journal;1994-1072;NA;NA;;;;;;;;;;
economic and policy review;NA;NA;NA;;;;;;;;;;
egyptian journal of biochemistry and molecular biology;2090-2603;1687-1502;English;;;;;;;;;;
egyptian journal of hospital medicine;1687-2002;2090-7125;NA;;;;;;;;;;
egyptian journal of medical human genetics;2090-2441;1110-8630;NA;;;;;;;;;;
egyptian journal of radiology and nuclear medicine;2090-4762;0378-603X;NA;;;;;;;;;;
ejotmas: ekpoma journal of theatre and media arts;2449-1179;NA;English;;;;;;;;;;
environmental technology and science journal;2705-1919;2705-3636;NA;;;;;;;;;;
equity journal of science and technology;2354-1814;2682-5961;English;;;;;;;;;;
esarbica journal: journal of the eastern and southern africa regional branch of the international council on archives;0376-4753;NA;English;Portuguese;;;;;;;;;
ethiopian journal of agricultural sciences;0257-2605;2415-2382;English;;;;;;;;;;
ethiopian journal of biological sciences;1819-8678;NA;English;;;;;;;;;;
ethiopian journal of education and sciences;1998-8907;2309-8600;English;;;;;;;;;;
ethiopian journal of environmental studies and management;1998-0507;NA;NA;;;;;;;;;;
ethiopian journal of human rights;2307-6097;NA;English;;;;;;;;;;
ethiopian journal of pediatrics and child health;2413-2640;2519-0334;NA;;;;;;;;;;
ethiopian journal of science and technology;1816-3378;2312-6019;English;;;;;;;;;;
ethiopian renaissance journal of social sciences and humanities;NA;NA;English;Amharic;;;;;;;;;
evidence-based nursing research;NA;NA;English;;;;;;;;;;
federal polytechnic ilaro journal of pure and applied sciences;NA;NA;NA;;;;;;;;;;
fuoye journal of engineering and technology;2579-0625;2579-0617;English;;;;;;;;;;
gender and behaviour;1596-9231;NA;NA;;;;;;;;;;
genetics research international;2090-3162;2090-3154;NA;;;;;;;;;;
ghana dental journal ;0855-5311;2408-7823;NA;;;;;;;;;;
ghana journal of agricultural science;0855-0042;NA;English;;;;;;;;;;
ghana journal of geography;2821-8892;NA;English;;;;;;;;;;
ghana journal of linguistics;2026-6596;NA;English;;;;;;;;;;
ghana journal of religion and theology;NA;NA;English;French;;;;;;;;;
ghana journal of science, technology and development;NA;NA;NA;;;;;;;;;;
ghana library journal;0016-9552;0855-3033;English;;;;;;;;;;
ghana mining journal;2616-1478;0855-210X;English;;;;;;;;;;
ghanaian journal of animal science;0855-7349;NA;NA;;;;;;;;;;
global journal of agricultural sciences;1596-2903;NA;NA;;;;;;;;;;
global journal of educational research;2313-3856;1596-6224;English;;;;;;;;;;
global journal of engineering research;1596-292X;NA;NA;;;;;;;;;;
global journal of geological sciences;1596-6798;NA;NA;;;;;;;;;;
global journal of pure and applied sciences;1118-0579;NA;NA;;;;;;;;;;
global journal of social sciences;1596-6216;NA;NA;;;;;;;;;;
hafed poly journal of science, management and technology;NA;NA;English;;;;;;;;;;
haki journal of human rights;2789-9845;2789-9837;English;;;;;;;;;;
haramaya law review;2305-3739;2227-2178;English;;;;;;;;;;
health sciences investigations journal;2720-7609;2704-4890;English;;;;;;;;;;
hybrid journal of literary and cultural studies;2707-2169;2707-2150;English;;;;;;;;;;
ibadan journal of humanistic studies;0189-2622;2141-9744;NA;;;;;;;;;;
indilinga: african journal of indigenous knowledge systems;1683-0296;NA;English;Other African languages;;;;;;;;;
information technologist (the);2805-3478;NA;NA;;;;;;;;;;
inkanyiso: journal of humanities and social sciences;2077-8317;NA;NA;;;;;;;;;;
interdisciplinary perspectives on infectious diseases;1687-708X;1687-7098;NA;;;;;;;;;;
international journal of african higher education ;NA;NA;NA;;;;;;;;;;
international journal of antennas and propagation;1687-5869;1687-5877;NA;;;;;;;;;;
international journal of basic, applied and innovative research;2384-681X;NA;English;;;;;;;;;;
international journal of biological and chemical sciences;1991-8631;1997-342X;English;French;;;;;;;;;
international journal of breast cancer;2090-3189;2090-3170;English;;;;;;;;;;
international journal of current research in the humanities;NA;NA;English;;;;;;;;;;
international journal of development and management review;2734-3316;2659-112X;NA;;;;;;;;;;
international journal of differential equations;1687-9643;1687-9651;English;;;;;;;;;;
international journal of educational research;1595-8485;NA;NA;;;;;;;;;;
international journal of engineering, science and technology;2141-2839;NA;English;;;;;;;;;;
international journal of food science;2314-5765;2356-7015;English;;;;;;;;;;
international journal of genomics;2314-4378;2314-436X;English;;;;;;;;;;
international journal of geophysics;1687-885X;1687-8868;English;;;;;;;;;;
international journal of hepatology;2090-3456;2090-3448;English;;;;;;;;;;
international journal of information security, privacy and digital forensics;NA;NA;English;;;;;;;;;;
international journal of mathematical sciences and optimization: theory and  applications;NA;NA;English;;;;;;;;;;
international journal of microbiology;1687-918X;1687-9198;English;;;;;;;;;;
international journal of pedagogy, policy and ict in education;2026-6081;NA;NA;;;;;;;;;;
international journal of polymer science;1687-9422;1687-9430;English;;;;;;;;;;
international journal of telemedicine and applications;1687-6423;1687-6415;English;;;;;;;;;;
international journal of vascular medicine;2090-2832;2090-2824;English;;;;;;;;;;
investigational medicinal chemistry and pharmacology;2617-0027;2617-0019;English;;;;;;;;;;
italian studies in southern africa/studi d'italianistica nell'africa australe;2225-7039;NA;English;Italian;;;;;;;;;
