title;research_area;country;issn;issn2
aau newsletter;education - higher education;ghana;0855-0174;NA
abacus;mathematics;nigeria;0001-3099;NA
absu journal of environment science and technology;environmental studies;nigeria;2504-8716;NA
abyssinia journal of science and technology;sciences: comprehensive works technology: comprehensive works;ethiopia;2616-471X;2616-4728
academic finance;social sciences: comprehensive works business and economics - economic situation and conditions;tunisia;1923-2993;NA
academic research journal of agricultural science and research;agriculture;nigeria;2360-7874;NA
academic research journal of history and culture;history;nigeria;2437-2196;NA
academic web journal of agricultural research;agriculture;nigeria;2545-4994;NA
academic web journal of medical science;medical sciences;nigeria;2545-4986;NA
acarines journal of the egyptian society of acarology;biology - entomology;egypt arab republic of egypt;1687-4633;NA
accounting perspectives in southern africa;business and economics - accounting;south africa;2521-2710;NA
achievers journal of scientific research;sciences: comprehensive works;nigeria;2505-0141;NA
acoustical society of nigeria journal;physics - sound;nigeria;2408-6789;NA
acta academica;humanities: comprehensive works social sciences: comprehensive works;south africa;0587-2405;2415-0479
acta agronomica nigeriana;agriculture - crop production and soil;nigeria;0795-9982;NA
acta classica;classical studies;south africa;0065-1141;2227-538X
acta commercii;business and economics - management;south africa;2413-1903;1684-1999
acta criminologica;criminology and law enforcement law - criminal law;south africa;1012-8093;NA
acta juridica;law;south africa;0065-1346;1996-2088
acta structilia;architecture building and construction;south africa;1023-0564;2415-0487
acta theologica;religions and theology;south africa;1015-8758;2309-9089
addis ababa university geophysical observatory contributions;earth sciences - geophysics;ethiopia;0072-9345;NA
addis ababa university institute of ethiopian studies qene collections;literature;ethiopia;0072-9361;NA
addis ababa university university testing center technical report;education;ethiopia;0072-9388;NA
adler museum bulletin;museums and art galleries medical sciences;south africa;0379-6531;NA
advanced dental journal;medical sciences - dentistry;egypt arab republic of egypt;2636-302X;2636-3038
advanced journal of agricultural research;agriculture;nigeria;2360-9354;NA
advanced journal of environmental science and technology;environmental studies;nigeria;2756-3251;NA
advanced journal of microbiology research;biology - microbiology;nigeria;2736-1756;NA
advanced research journal of plants and animal sciences;biology - botany biology - zoology;nigeria;2360-7947;NA
advancement in medicinal plant research;pharmacy and pharmacology;nigeria;2354-2152;NA
advancement in science and technology research;sciences: comprehensive works;nigeria;2437-1300;NA
advances in agricultural research in egypt;agriculture;egypt arab republic of egypt;1110-6425;NA
advances in agriculture and agricultural sciences;agriculture;nigeria;2756-326X;NA
advances in aquaculture and fisheries management;fish and fisheries;nigeria;2756-3278;NA
advances in computer science;computers;egypt arab republic of egypt;1687-8515;NA
advances in food science and technology;food and food industries;nigeria;2756-3286;NA
advances in scientific research and impact;sciences: comprehensive works;nigeria;2476-8367;NA
aeronautica meridiana;aeronautics and space flight;south africa;0257-8573;NA
afaq lilulum;social sciences: comprehensive works;algeria;2507-7228;2602-5345
afer;religions and theology - roman catholic;kenya;0250-4650;NA
africa 2001;humanities: comprehensive works social sciences: comprehensive works;south africa;1019-2182;NA
africa development;business and economics - economic systems and theories economic history business and economics - international development and assistance;senegal;0850-3907;NA
africa education review;education - higher education;south africa;1814-6627;1753-5921
africa habitat review journal;architecture;kenya;2519-7851;2524-1354
africa insight;history - history of africa political science business and economics - economic situation and conditions;south africa;0256-2804;1995-641X
africa institute occasional publications;history - history of africa political science business and economics - economic situation and conditions;south africa;null;NA
africa institute research paper;history - history of africa business and economics - economic situation and conditions;south africa;null;NA
africa international journal of management education and governance;business and economics - management;kenya;2518-0827;NA
africa international journal of multidisciplinary research;humanities: comprehensive works sciences: comprehensive works;kenya;2523-9422;2523-9430
africa journal of comparative constitutional law;law - constitutional law;south africa;2519-5603;2521-5434
africa journal of evangelical theology;religions and theology - protestant;kenya;1026-2946;NA
africa journal of food and integrated agriculture;food and food industries;ghana;2579-0307;NA
africa journal of nursing and midwifery;medical sciences - obstetrics and gynecology;south africa;1682-5055;2520-5293
africa journal of physical sciences;sciences: comprehensive works;kenya;2313-3317;NA
africa journal of technical and vocational education and training;education - adult education;kenya;2413-984X;2518-2722
africa media monograph series;journalism sociology;kenya;null;NA
africa media review;sociology;kenya;0258-4913;NA
africa nazarene university law journal;law;south africa;2308-1325;2521-2613
africa online inasp london;psychology;nigeria;null;NA
africa research journal;engineering - electrical engineering;south africa;1991-1696;NA
africa review of books;publishing and book trade literature;ethiopia;null;NA
africa thought and practice;philosophy;kenya;0251-043X;NA
african administrative studies;public administration;morocco;0007-9588;NA
african agri magazine;agriculture - agricultural economics environmental studies;morocco;2794-1051;NA
african and mediterranean journal of architecture and urbanism;architecture housing and urban planning;morocco;2665-7953;NA
african annals of thoracic and cardiovascular surgery;medical sciences - surgery;nigeria;1994-7461;NA
african association for literacy and adult education journal;education - adult education;kenya;1016-8826;NA
african association of physiological sciences journal;biology - physiology;nigeria;2315-9987;2449-108X
african biodiversity conservation;biology - botany;south africa;2311-4207;0006-8241
african business and management research journal;business and economics business and economics - management;kenya;2518-0312;NA
african centre for technology studies research series;technology: comprehensive works;kenya;0958-6105;NA
african centre for the constructive resolution of disputes occasional papers;political science - international relations;south africa;1608-3954;NA
african chiroptera;biology - zoology;south africa;1990-6471;NA
african christian studies;religions and theology - roman catholic;kenya;1013-171X;NA
african conference on information systems and technology;computers;ghana;2467-8988;NA
african crop science journal;agriculture - crop production and soil;uganda;1021-9730;NA
african crusader;history - history of africa;nigeria;null;NA
african demography;population studies;ghana;0855-0018;NA
african development bank economic research papers;business and economics - economic situation and conditions business and economics - international development and assistance;cote divoire;null;NA
african development finance journal;business and economics - banking and finance business and economics - accounting;kenya;2522-3186;NA
african dialogue monograph series;political science - international relations;south africa;1562-7004;NA
african disability rights yearbook;law - civil law;south africa;2311-8970;2413-7138
african eastasian affairs;political science;south africa;2308-8699;NA
african educational research journal;education;nigeria;2354-2160;NA
african entomology;biology - entomology;south africa;null;1021-3589
african entomology memoirs;biology - entomology;south africa;null;NA
african environment;environmental studies;senegal;1010-5522;NA
african evaluation journal;business and economics;south africa;2310-4988;2306-5133
african health sciences;medical sciences;uganda;1680-6905;1729-0503
african historical review;history;south africa;null;1753-2531
african human mobility review;anthropology;south africa;2410-7972;NA
african human rights law journal;law political science - civil rights;south africa;1609-073X;1996-2096
african human rights yearbook;political science - civil rights;south africa;2523-1367;NA
african journal for physical activity and health sciences;physical fitness and hygiene public health and safety;south africa;2411-6939;NA
african journal for physical health education recreation and dance;dance physical fitness and hygiene sports and games;south africa;1117-4315;NA
african journal for the psychological study of social issues;psychology sociology;nigeria;null;NA
african journal of academic librarianship;library and information sciences;nigeria;0189-6709;NA
african journal of accounting and financial research;business and economics - accounting;nigeria;2682-6690;NA
african journal of advanced biotechnology;biology - biotechnology;nigeria;2354-3825;NA
african journal of agricultural and resource economics;agriculture - agricultural economics;kenya;1993-3738;NA
african journal of agricultural economics and rural development;agriculture - agricultural economics;nigeria;2375-0693;NA
