title,language,issn,issn2
lavra oficina,Text in Portuguese,1017-5504,NA
revue de iinformation scientifique et technique,Text in French,1111-0015,2571-9947
la revue des sciences commerciales,Text in French | Text in English,1112-3818,NA
revue des sciences humaines,Text in French | Text in Arabic,1112-3176,NA
revue des sciences juridiques et administratives,Text in French | Text in Arabic,1112-4334,NA
journal of new technology and materials,Text in English,2170-161X,NA
larhyss journal,Text in French | Text in English,1112-3680,NA
international journal of chemical and petroleum sciences,Text in French | Text in English,2253-0932,NA
revue des bio ressources,NA,2170-1806,NA
journal of fundamental and applied sciences,Text in French | Text in English,1112-9867,NA
annales des sciences et technologie,NA,2170-0672,NA
cahiers de politique et de droit,NA,1112-9808,NA
al athar,NA,1112-3672,NA
revue des sciences sociales et humaines,NA,2170-1121,NA
algerian business performance review,NA,1938-2170,NA
psychological educational studies,NA,1112-9263,NA
revue el bahith,Text in French | Text in Arabic | Summaries in English | Text in English,1112-3613,NA
algerian journal of arid environment,Text in Multiple languages,2170-1318,NA
revue roa iktissadia,Summaries in French | Text in French | Text in Arabic | Summaries in English | Text in English,2253-0088,NA
algerie equipement online,Text in French,2716-7801,NA
synthese,Text in French | Summaries in English,1111-4924,2352-9717
revue alijtihed,Text in French | Text in Arabic | Text in English,2335-1039,2437-0754
service geologique de lalgerie bulletin,Text in French | Text in Arabic,1111-1305,NA
revue algerienne de physique,Text in French,1112-8224,NA
ishkelet,Text in Arabic,2335-1586,NA
phytochem biosub journal,Text in Multiple languages,2170-1768,NA
algerian journal of natural products,Text in English,2353-0391,NA
nutrition sante,NA,2253-0983,NA
mediterranean journal of modeling and simulation,Text in Multiple languages,2335-1357,NA
communication science technologie,Text in French | Text in Arabic,1112-5187,NA
agrobiologia,Text in French | Text in English,2170-1652,2507-7627
algerian journal of engineering architecture and urbanism,Text in French | Summaries in English | Text in English,2588-1760,NA
international journal of human settlements,Text in French | Summaries in English | Text in English,2588-1779,NA
recueil de mecanique,Text in French | Text in English,2507-7589,2507-7619
alhiwar almutawasiti,Text in Multiple languages,1112-945X,2571-9742
aleph,Text in French | Text in Arabic,2437-0274,2437-1076
nature technology,Text in French | Text in English,1112-9778,2437-0312
insaniyat,Text in French,1111-2050,2253-0738
process engineering journal,Text in French | Text in English,2588-171X,2588-1795
sapientiae,Text in Portuguese,2183-5063,2184-061X
annual review of chaos theory bifurcations and dynamical systems,Text in English,2253-0371,NA
journal of economic sciences management and commercial sciences,Text in French | Text in Arabic | Text in English,1112-8984,2602-5140
multilinguales,Text in French,2335-1535,2335-1853
genetics and biodiversity journal,Text in Arabic | Text in English,2602-5582,2588-185X
revista orbita pedagogica,Text in Spanish | Text in Portuguese | Text in English,2409-0131,NA
journal of building materials and structures,Text in English,2600-6936,2353-0057
batna journal of medical sciences,Text in French | Text in English,2437-0665,NA
revue dhistoire mediterraneenne,Text in French | Text in English,2716-764X,2716-7747
management economics research journal,Text in Arabic | Text in English,2676-184X,2710-8856
alhitab,Text in French | Text in Arabic | Text in English,1112-7082,2602-5310
revista angolana de extensao universitaria,Text in Portuguese,2707-5400,NA
in translation,Text in Arabic | Text in English,2353-0073,2602-6902
